ProductID,Category,Subcategory,Brand,ProductFeatures,Price (INR),Festivals,Seasons
P001,Electronics,Smartphones,Samsung,"6.7-inch AMOLED, 256GB Storage, 5G, 5000mAh Battery",32332,Eid,"Winter, Summer"
P002,Books,Fiction,HarperCollins,"Paperback, Mystery Thriller, 320 Pages, Bestseller",135,"Baisakhi, Raksha Bandhan, Ganesh Chaturthi","Spring, Monsoon"
P003,Clothing,Activewear,Nike,"Dri-FIT Fabric, Mens Running Shorts, Size M-XXL",348,"Diwali, Holi","Monsoon, Summer"
P004,Beauty,Skincare,CeraVe,"Hydrating Facial Cleanser, Fragrance-Free, 16oz",301,"Pongal, Ganesh Chaturthi, Raksha Bandhan","Summer, Spring, Autumn"
P005,Electronics,Laptops,Apple,"MacBook Pro 14-inch, M2 Pro Chip, 1TB SSD",37087,"Diwali, Baisakhi, Christmas","Winter, Monsoon, Summer"
P006,Home & Kitchen,Blenders,Vitamix,"Professional Series 750, 64oz Container, 10 Speeds",709,"Holi, Diwali","Spring, Autumn, Summer"
P007,Sports & Outdoors,Camping,Coleman,"6-Person Dome Tent, Weatherproof, UV Protection",903,Diwali,"Spring, Monsoon, Summer"
P008,Groceries,Snacks,Kind,"Dark Chocolate Almond Bars, Gluten-Free, 12-Pack",178,"Holi, Navratri","Winter, Summer, Autumn"
P009,Toys & Games,Board Games,Hasbro,"Monopoly Classic, Family Game Night, 2-8 Players",480,"Eid, Holi","Spring, Autumn"
P010,Fashion,Sunglasses,Ray-Ban,"Aviator Classic, Polarized Lenses, Gold Frame",127,Ganesh Chaturthi,"Summer, Monsoon"
P011,Electronics,Headphones,Sony,"WH-1000XM5, Noise-Cancelling, 30-Hour Battery",11713,Diwali,"Winter, Monsoon, Summer"
P012,Books,Non-Fiction,Penguin,"Sapiens: A Brief History of Humankind, Hardcover",807,"Holi, Eid","Autumn, Winter"
P013,Clothing,Formal Wear,Hugo Boss,"Mens Slim-Fit Suit, Wool Blend, Navy Blue",124,Navratri,"Spring, Autumn"
P014,Beauty,Makeup,Fenty Beauty,"Pro Filt'r Soft Matte Foundation, 50 Shades",279,"Christmas, Diwali, Navratri","Autumn, Summer"
P015,Home & Kitchen,Cookware,All-Clad,"Stainless Steel 10-Piece Set, Induction Compatible",685,Ganesh Chaturthi,"Spring, Monsoon, Winter"
P016,Sports & Outdoors,Yoga,manduka,"PRO Yoga Mat, Eco-Friendly, 6mm Thick",590,"Diwali, Ganesh Chaturthi, Holi","Monsoon, Summer"
P017,Groceries,Coffee,Lavazza,"Super Crema Whole Bean, Medium Roast, 2.2lb",298,"Onam, Baisakhi, Christmas","Autumn, Spring, Summer"
P018,Toys & Games,LEGO,LEGO,"Star Wars Millennium Falcon, 7,541 Pieces",630,"Holi, Diwali, Raksha Bandhan","Monsoon, Winter"
P019,Fashion,Watches,Casio,"G-Shock Mudmaster, Solar-Powered, Water Resistant",828,Eid,"Winter, Spring, Summer"
P020,Electronics,Tablets,Microsoft,"Surface Pro 9, 13-inch Touchscreen, 512GB SSD",1318,Diwali,"Winter, Monsoon"
P021,Home & Kitchen,Vacuum Cleaners,Dyson,"V15 Detect Cordless, Laser Dust Detection",825,"Navratri, Diwali","Winter, Spring, Autumn"
P022,Automotive,Tires,Michelin,"Defender All-Season, 225/65R17, 80k Mile Warranty",728,Onam,"Monsoon, Winter"
P023,Electronics,Smartwatches,Garmin,"Fenix 7X, GPS, Heart Rate Monitor",17672,Holi,"Winter, Monsoon, Summer"
P024,Clothing,Outerwear,The North Face,"Mens Thermoball Eco Jacket, Water-Resistant",240,"Raksha Bandhan, Holi, Navratri","Summer, Winter, Spring"
P025,Beauty,Hair Care,Olaplex,"No. 3 Hair Perfector, Repair Damaged Hair, 3.3oz",961,Navratri,"Winter, Summer"
P026,Books,Science Fiction,Orbit,"Dune: Frank Herbert, Paperback, 896 Pages",571,Diwali,"Autumn, Monsoon, Winter"
P027,Home & Kitchen,Air Fryers,Philips,"Premium XXL, 6.2qt Capacity, 7 Presets",183,"Baisakhi, Christmas, Onam","Autumn, Monsoon, Winter"
P028,Sports & Outdoors,Running,Saucony,"Ride 15 Running Shoes, Cushioned, Mens Size 10",187,Pongal,"Winter, Autumn, Spring"
P029,Groceries,Tea,Twinings,"English Breakfast Tea Bags, 100 Count",863,"Ganesh Chaturthi, Onam, Diwali","Spring, Winter, Monsoon"
P030,Fashion,Handbags,Kate Spade,"Crossbody Bag, Leather, Rose Gold Hardware",643,Diwali,"Spring, Autumn"
P031,Electronics,Gaming Consoles,Sony,"PlayStation 5, 825GB SSD, 4K Gaming",40549,Diwali,"Winter, Monsoon"
P032,Books,Biography,Simon & Schuster,"Becoming by Michelle Obama, Hardcover",1122,"Holi, Eid","Winter, Autumn"
P033,Clothing,Swimwear,Speedo,"Womens Solid One-Piece Swimsuit, Chlorine-Resistant",583,Holi,"Summer, Spring"
P034,Beauty,Perfume,Chanel,"Coco Mademoiselle Eau de Parfum, 3.4oz",976,"Christmas, Eid, Holi","Autumn, Monsoon"
P035,Home & Kitchen,Mattresses,Casper,"Original Hybrid, Queen Size, Medium Firmness",441,Navratri,"Autumn, Summer, Winter"
P036,Sports & Outdoors,Camping,Yeti,"Rambler 20oz Tumbler, Vacuum Insulated",597,"Diwali, Christmas","Summer, Autumn, Winter"
P037,Groceries,Pasta,Barilla,"Spaghetti Pasta, 16oz, Non-GMO",846,Diwali,"Spring, Summer"
P038,Toys & Games,Puzzles,Ravensburger,"Disney Villainous Board Game, Strategy Game",657,Baisakhi,"Winter, Summer, Monsoon"
P039,Fashion,Sneakers,Adidas,"Ultraboost 22 Running Shoes, Womens Size 8",876,"Christmas, Diwali, Pongal","Autumn, Monsoon, Spring"
P040,Electronics,Speakers,JBL,"Flip 6 Portable Bluetooth Speaker, Waterproof",29290,"Raksha Bandhan, Christmas","Monsoon, Summer"
P041,Electronics,Monitors,LG,"UltraGear 27-inch 4K, 144Hz Refresh Rate",35524,Diwali,"Summer, Monsoon"
P042,Books,Cookbooks,Chronicle Books,"Salt Fat Acid Heat, Hardcover, Illustrated",164,Eid,"Autumn, Monsoon"
P043,Clothing,Denim,Levi's,"501 Original Fit Jeans, Mens 32x34, Stretch Fabric",305,"Diwali, Pongal, Ganesh Chaturthi","Monsoon, Spring"
P044,Beauty,Sunscreen,Neutrogena,"Ultra Sheer Dry-Touch SPF 50, 3oz",360,Holi,"Summer, Autumn"
P045,Home & Kitchen,Toasters,KitchenAid,"2-Slice Toaster, Stainless Steel, 7 Shade Settings",172,Diwali,"Autumn, Winter, Spring"
P046,Sports & Outdoors,Golf,Callaway,Strata Ultimate 16-Piece Complete Golf Set,310,Holi,"Summer, Autumn, Monsoon"
P047,Groceries,Olive Oil,Bertolli,"Extra Virgin Olive Oil, 33.8oz",191,"Holi, Raksha Bandhan","Autumn, Summer"
P048,Toys & Games,Dolls,American Girl,"Truly Me Doll, 18-inch, Customizable",350,Ganesh Chaturthi,"Autumn, Summer, Winter"
P049,Fashion,Jewelry,Tiffany & Co.,"Return to Tiffany Heart Tag Pendant, Sterling Silver",672,"Pongal, Navratri, Diwali","Summer, Winter, Monsoon"
P050,Electronics,Printers,HP,"OfficeJet Pro 9015e, Wireless, All-in-One",18877,"Raksha Bandhan, Christmas","Winter, Monsoon, Summer"
P051,Electronics,Drones,DJI,"Mavic 3 Pro, 4K Camera, 46-Min Flight Time",19139,Ganesh Chaturthi,"Winter, Summer, Monsoon"
P052,Books,Children's,Scholastic,"Harry Potter Box Set, 7 Books, Paperback",393,Christmas,"Monsoon, Autumn"
P053,Clothing,Workwear,Carhartt,"Mens Duck Detachable Jacket, Sandstone",340,"Navratri, Eid","Spring, Winter, Autumn"
P054,Beauty,Makeup Brushes,Real Techniques,"Everyday Essentials Set, 5 Brushes",943,Diwali,"Summer, Winter"
P055,Home & Kitchen,Coffee Makers,DeLonghi,"Espresso Machine, 15-Bar Pump",683,Diwali,"Summer, Autumn, Spring"
P056,Sports & Outdoors,Cycling,Specialized,"Sirrus X 3.0 Fitness Bike, 21-Speed",648,"Diwali, Ganesh Chaturthi, Holi","Monsoon, Autumn"
P057,Groceries,Cereal,Kellogg's,"Frosted Flakes, Family Size, 24oz",254,"Navratri, Onam","Autumn, Spring"
